T02,"Population, density and surface area",,,,,
246,Finland,2010,Population aged 0 to 14 years old (percentage),16.5226,Including Åland Islands.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
246,Finland,2010,Population aged 60+ years old (percentage),24.7645,Including Åland Islands.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
246,Finland,2010,Population density,17.6570,Including Åland Islands.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
246,Finland,2017,Population mid-year estimates (millions),5.5114,Including Åland Islands.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
246,Finland,2017,Population mid-year estimates for males (millions),2.7149,Including Åland Islands.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
246,Finland,2017,Population mid-year estimates for females (millions),2.7965,Including Åland Islands.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
246,Finland,2017,Sex ratio (males per 100 females),97.0840,Including Åland Islands.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
246,Finland,2017,Population aged 0 to 14 years old (percentage),16.2512,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
246,Finland,2017,Population aged 60+ years old (percentage),27.8454,Including Åland Islands.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
246,Finland,2017,Population density,18.1361,Including Åland Islands.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
246,Finland,2017,Surface area (thousand km2),338.4400,Including Åland Islands.,"United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
246,Finland,2019,Population mid-year estimates (millions),5.5322,Including Åland Islands.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
246,Finland,2019,Population mid-year estimates for males (millions),2.7272,Including Åland Islands.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
246,Finland,2019,Population mid-year estimates for females (millions),2.8049,Including Åland Islands.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
246,Finland,2019,Sex ratio (males per 100 females),97.2285,Including Åland Islands.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
246,Finland,2019,Population aged 0 to 14 years old (percentage),16.0163,Including Åland Islands.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
246,Finland,2019,Population aged 60+ years old (percentage),28.6043,Including Åland Islands.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
246,Finland,2019,Population density,18.2045,Including Åland Islands.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
250,France,2005,Population mid-year estimates (millions),61.1201,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
250,France,2005,Population mid-year estimates for males (millions),29.5901,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
250,France,2005,Population mid-year estimates for females (millions),31.5300,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
250,France,2005,Sex ratio (males per 100 females),93.8476,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
250,France,2005,Population aged 0 to 14 years old (percentage),18.4938,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
250,France,2005,Population aged 60+ years old (percentage),20.9377,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
250,France,2005,Population density,111.6233,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
